houseCode,houseRegion,houseName,houseAllPrice,houseType,houseSize,houseDirection,houseStatus,houseFloor,houseAddress,houseDistrict,houseElevator,Latitude,Longitude,type,use,houseYear,houseUnitPrice
1.0312E+11,花山区,国际华城四村,122,2室2厅1厨1卫,103.04,南 北,简装,中楼层 (共8层),,解放路,暂无数据,118.5354475,31.69327611,商品房,普通住宅,2022,11840
1.03115E+11,花山区,新里西斯莱公馆,102,2室2厅1厨1卫,88.03,南,毛坯,低楼层 (共32层),,霍里,有,118.556072,31.693061,商品房,普通住宅,2021,11587
1.03116E+11,雨山区,中冶设计院小区,34,2室1厅1厨1卫,50.66,南,简装,中楼层 (共5层),,雨山,无,118.500776,31.688733,商品房,普通住宅,2021,6711
1.03116E+11,花山区,桥山嘉苑一区,60,2室1厅1厨1卫,73.36,南 北,毛坯,中楼层 (共6层),,霍里,暂无数据,118.542336,31.714604,动迁安置房,普通住宅,2021,8179
1.03119E+11,花山区,朝辉东方城三区,112,2室2厅1厨1卫,88.07,南,毛坯,低楼层 (共34层),,霍里,有,118.5419616,31.68063943,商品房,普通住宅,2022,12717
1.03114E+11,花山区,香樟园,48,2室1厅1厨1卫,61.07,南,简装,中楼层 (共6层),,桃园,暂无数据,118.524283,31.68575,商品房,普通住宅,2021,7860
1.0312E+11,花山区,秀山湖壹號,103,2室1厅1厨1卫,87.26,南,精装,中楼层 (共18层),,霍里,有,118.568871,31.702477,商品房,普通住宅,2022,11804
1.03117E+11,花山区,东方明珠世纪花园,82,2室1厅1厨1卫,56.78,南,精装,高楼层 (共17层),,江东,有,118.534232,31.714672,商品房,普通住宅,2021,14442
1.03118E+11,花山区,东方天骏九珑湾,153,4室2厅1厨2卫,143.15,东 北 南,毛坯,低楼层 (共34层),,佳山,有,118.546753,31.676485,商品房,普通住宅,2021,10688
1.03118E+11,花山区,圳秀国际?金湖湾,91,2室2厅1厨1卫,74.84,南,其他,中楼层 (共29层),,霍里,有,118.56937,31.69924,商品房,普通住宅,2021,12159
1.03119E+11,花山区,新里西斯莱公馆,106,2室1厅1厨1卫,88.03,南,毛坯,中楼层 (共32层),,霍里,有,118.556072,31.693061,商品房,普通住宅,2022,12041
1.03119E+11,花山区,东方城,52,1室1厅1厨1卫,63.16,南 北,精装,高楼层 (共20层),,霍里,有,118.541274,31.687375,商品房,普通住宅,2022,8233
1.0312E+11,花山区,红东家园,54,2室1厅1厨1卫,80,南,其他,高楼层 (共24层),,霍里,有,118.550358,31.70975,动迁安置房,普通住宅,2022,6750
1.03118E+11,雨山区,万嘉南苑二村,68,2室1厅1厨1卫,73.64,南 北,精装,低楼层 (共7层),,佳山,无,118.535792,31.667722,商品房,普通住宅,2021,9234
1.03119E+11,花山区,泰和文苑,143,3室2厅1厨2卫,124.7,南,精装,中楼层 (共11层),,解放路,有,118.528348,31.71164,商品房,普通住宅,2022,11468
1.03113E+11,花山区,国际华城四村,133,4室2厅1厨2卫,176,南 北,精装,高楼层 (共6层),,解放路,无,118.5354475,31.69327611,商品房,普通住宅,2021,7557
1.03116E+11,花山区,中央花园,32.5,2室1厅1厨2卫,53.44,西,简装,中楼层 (共19层),,雨山,有,118.5147827,31.68591478,商品房,普通住宅,2021,6082
1.03117E+11,雨山区,钢城花园二村,110,3室1厅1厨1卫,106.87,南,精装,低楼层 (共6层),,安民,无,118.4966848,31.6705524,商品房,普通住宅,2021,10293
1.0312E+11,花山区,花园新村南区,54.5,3室1厅1厨1卫,71.86,南,精装,中楼层 (共7层),,解放路,无,118.5196215,31.70555951,商品房,普通住宅,2022,7584
1.0312E+11,花山区,汇成上东,140,3室2厅1厨1卫,98.84,南 北,精装,中楼层 (共17层),,解放路,有,118.533196,31.70379,商品房,普通住宅,2022,14164
